Iteration	Plant	Treatment	Emitter	Receiver	Herbivory	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
6	11	B	LowNI	High	wounded	96,49565217	81,78043478	17,07619565	67,52826087	1,493788043
6	12	B	LowNI	High	wounded	85,15632653	62,12571429	17,59885714	48,86612245	1,652044898
6	13	C	LowI	Low	wounded	46,92008734	90,86812227	20,19799127	67,92008734	1,070323144
6	14	C	LowI	Low	wounded	38,18744444	62,68722222	16,99366667	53,53588889	1,464366667
6	15	C	LowI	Low	wounded	63,63663866	86,26638655	15,85033613	60,23268908	1,582344538
6	16	C	LowI	Low	wounded	49,80948276	52,09267241	10,01146552	37,26866379	0,897573276
6	17	C	LowI	Low	wounded	65,23647059	74,85411765	20,04852941	63,62941176	1,549152941
6	18	C	LowI	Low	wounded	64,76605505	73,33119266	16,96220183	66,9559633	1,139137615
6	19	D	LowNI	Low	wounded	35,74252475	51,79306931	10,63980198	36,41782178	1,002613861
6	20	D	LowNI	Low	wounded	28,07713004	42,22269058	10,05928251	42,28663677	1,353192825
6	21	D	LowNI	Low	wounded	49,47107843	51,12254902	10,80553922	54,65343137	0,905485294
6	22	D	LowNI	Low	wounded	53,72112676	51,9685446	11,06713615	50,14553991	0,648934272
6	23	D	LowNI	Low	wounded	65,67958042	85,30909091	16,20153846	59,50818182	1,019916084
6	24	D	LowNI	Low	wounded	88,17319149	79,4893617	16,93944681	73,66595745	1,090238298
7	1	A	LowI	High	wounded	35,0461236	44,72926966	17,53241573	23,91797753	1,737820225
7	2	A	LowI	High	wounded	23,96494505	41,70807692	14,41197802	20,55467033	1,254725275
7	3	A	LowI	High	wounded	28,38218009	32,91104265	10,82966825	22,40720379	1,357104265
7	4	A	LowI	High	wounded	55,70591133	53,91625616	16,53369458	28,92502463	1,421349754
7	5	A	LowI	High	wounded	63,41292135	74,90505618	20,61078652	30,09764045	1,843803371
7	6	A	LowI	High	wounded	27,56935294	61,44176471	23,22252941	25,79517647	2,246664706
7	7	B	LowNI	High	wounded	40,49200837	69,45774059	26,39527197	27,94292887	2,050338912
7	8	B	LowNI	High	wounded	46,67798995	63,14070352	23,70427136	29,47969849	1,482085427
7	9	B	LowNI	High	wounded	41,32267045	43,79238636	14,65090909	22,74028409	1,328789773
7	10	B	LowNI	High	wounded	40,11968504	28,60909449	9,152834646	13,43889764	0,897354331
7	11	B	LowNI	High	wounded	52,52027174	79,00271739	26,545	40,9776087	2,142380435
7	12	B	LowNI	High	wounded	54,57918367	45,58204082	23,26110204	22,1475102	1,809028571
7	13	C	LowI	Low	wounded	30,86052402	92,79475983	35,50065502	46,97510917	1,736982533
7	14	C	LowI	Low	wounded	32,77122222	74,47277778	34,59688889	38,43572222	1,773905556
7	15	C	LowI	Low	wounded	47,74907563	86,93193277	25,55058824	43,31663866	1,406428571
7	16	C	LowI	Low	wounded	40,81767241	68,24612069	18,26362069	30,47349138	1,134487069
7	17	C	LowI	Low	wounded	48,93958824	68,87352941	34,17311765	39,44588235	1,716276471
7	18	C	LowI	Low	wounded	56,36559633	81,08165138	32,95807339	56,01972477	2,197509174
7	19	D	LowNI	Low	wounded	26,23212871	56,71138614	19,58752475	28,73247525	1,274108911
7	20	D	LowNI	Low	wounded	17,23511211	45,98026906	18,87251121	32,332287	1,743919283
7	21	D	LowNI	Low	wounded	35,84401961	57,83235294	18,34343137	38,62534314	1,051088235
7	22	D	LowNI	Low	wounded	35,7541784	60,9286385	21,28032864	39,73004695	1,341600939
7	23	D	LowNI	Low	wounded	58,42559441	101,258042	29,91776224	54,09363636	1,247377622
7	24	D	LowNI	Low	wounded	62,03829787	79,11574468	29,53208511	48,23446809	2,052570213
8	1	A	LowI	High	wounded	28,64466292	35,89483146	17,1461236	15,85769663	1,755837079
8	2	A	LowI	High	wounded	22,59807692	39,12736264	15,00681319	15,25747253	1,098972527
8	3	A	LowI	High	wounded	25,9356872	29,95388626	12,45104265	16,42876777	1,381127962
8	4	A	LowI	High	wounded	44,49182266	53,91231527	19,23128079	22,6853202	1,625768473
8	5	A	LowI	High	wounded	53,66719101	74,96011236	23,7838764	26,51792135	2,148404494
8	6	A	LowI	High	wounded	20,18370588	58,90411765	23,888	19,02558824	2,297864706
8	7	B	LowNI	High	wounded	31,38598326	58,23389121	26,31715481	22,12037657	2,164309623
8	8	B	LowNI	High	wounded	37,54507538	60,64824121	25,20326633	21,94492462	1,989979899
8	9	B	LowNI	High	wounded	35,00767045	48,583125	16,89420455	19,07113636	1,606892045
8	10	B	LowNI	High	wounded	35,5411811	26,33437008	9,912401575	9,58488189	0,622496063
8	11	B	LowNI	High	wounded	40,01271739	77,00217391	30,75407609	31,45717391	2,514478261
8	12	B	LowNI	High	wounded	50,36530612	37,89432653	23,60489796	15,44044898	2,225489796
8	13	C	LowI	Low	wounded	25,53917031	89,07641921	39,8858952	38,96475983	1,812021834
8	14	C	LowI	Low	wounded	26,70755556	70,48111111	39,71644444	29,60511111	2,267838889
8	15	C	LowI	Low	wounded	41,28201681	91,01680672	33,03336134	35,60806723	2,226176471
8	16	C	LowI	Low	wounded	39,42875	71,68103448	23,06900862	28,36405172	1,564948276
8	17	C	LowI	Low	wounded	47,08729412	88,90176471	40,66935294	35,85547059	2,623088235
8	18	C	LowI	Low	wounded	54,67798165	76,57981651	37,91233945	47,84724771	2,543275229
8	19	D	LowNI	Low	wounded	21,11940594	55,97425743	22,60727723	27,06881188	1,481831683
8	20	D	LowNI	Low	wounded	14,18986547	49,31210762	21,76672646	30,5526009	1,820147982
8	21	D	LowNI	Low	wounded	32,74431373	61,69215686	24,97186275	34,92323529	1,764666667
8	22	D	LowNI	Low	wounded	30,58741784	62,54600939	26,14586854	32,2558216	1,614267606
8	23	D	LowNI	Low	wounded	56,28160839	107,9881119	37,88636364	50,51377622	1,765132867
8	24	D	LowNI	Low	wounded	52,18425532	70,11148936	31,18510638	33,82276596	2,138838298
9	1	A	LowI	High	wounded	23,88758427	38,18550562	18,00797753	11,24859551	2,108
9	2	A	LowI	High	wounded	18,8728022	37,56714286	14,73653846	11,12664835	1,397510989
9	3	A	LowI	High	wounded	21,65611374	32,27478673	13,5350237	11,89123223	1,407113744
9	4	A	LowI	High	wounded	37,02527094	48,00024631	19,59729064	17,53960591	1,896748768
9	5	A	LowI	High	wounded	51,28151685	76,61067416	27,45539326	23,3002809	2,605168539
9	6	A	LowI	High	wounded	13,16817647	48,79105882	24,75811765	13,77594118	2,677476471
9	7	B	LowNI	High	wounded	25,34669456	49,42175732	26,86476987	17,85748954	2,250288703
9	8	B	LowNI	High	wounded	30,99145729	54,33919598	26,74236181	18,02974874	2,576422111
9	9	B	LowNI	High	wounded	28,85704545	44,97596591	18,56028409	13,61164773	2,012153409
9	10	B	LowNI	High	wounded	28,22129921	22,12889764	9,593503937	5,199566929	0,110355118
9	11	B	LowNI	High	wounded	29,17429348	71,77608696	31,8825	23,62820652	2,662940217
9	12	B	LowNI	High	wounded	45,71755102	31,99244898	22,9235102	10,68285714	2,020995918
9	13	C	LowI	Low	wounded	22,6449345	75,34454148	41,46672489	31,51737991	2,068310044
9	14	C	LowI	Low	wounded	23,01561111	60,51222222	40,91122222	23,61372222	2,40225
9	15	C	LowI	Low	wounded	36,61857143	83,54336134	36,8810084	29,91714286	2,654176471
9	16	C	LowI	Low	wounded	34,85112069	70,0012931	26,69590517	24,79163793	1,675344828
9	17	C	LowI	Low	wounded	39,91717647	66,13176471	43,42752941	29,34452941	2,764547059
9	18	C	LowI	Low	wounded	49,76284404	59,85504587	35,79	35,87944954	2,473853211
9	19	D	LowNI	Low	wounded	17,62262376	54,89851485	24,21960396	23,44930693	1,498485149
9	20	D	LowNI	Low	wounded	10,49838565	44,4667713	22,67878924	25,18524664	1,747116592
9	21	D	LowNI	Low	wounded	26,55843137	56,8127451	27,3447549	28,64343137	1,900857843
9	22	D	LowNI	Low	wounded	26,84694836	53,47746479	30,83070423	28,48638498	1,567953052
9	23	D	LowNI	Low	wounded	46,22559441	98,41958042	39,20237762	39,76496503	1,734531469
9	24	D	LowNI	Low	wounded	41,40059574	60,72170213	32,5533617	25,26102128	1,849268085
10	1	A	LowI	High	wounded	21,67657303	34,76505618	16,35477528	8,53988764	1,899466292
10	2	A	LowI	High	wounded	14,60054945	27,37967033	13,04148352	8,302967033	1,149115385
10	3	A	LowI	High	wounded	18,29924171	24,94526066	12,85962085	8,247488152	1,634810427
10	4	A	LowI	High	wounded	30,3146798	41,44315271	20,89871921	12,67251232	1,806458128
10	5	A	LowI	High	wounded	42,69758427	69,16235955	29,57589888	20,11640449	2,467752809
10	6	A	LowI	High	wounded	9,863764706	44,35917647	25,17852941	10,37235294	2,422058824
10	7	B	LowNI	High	wounded	18,87447699	44,11338912	25,52460251	14,45280335	2,096451883
10	8	B	LowNI	High	wounded	25,59949749	45,67492462	26,49276382	13,34190955	2,498532663
10	9	B	LowNI	High	wounded	23,87517045	39,15778409	19,40454545	10,93784091	1,921914773
10	10	B	LowNI	High	wounded	26,15452756	19,12838583	10,01011811	4,385669291	0,756090551
10	11	B	LowNI	High	wounded	23,54005435	62,16902174	32,90733696	17,42391304	2,716831522
10	12	B	LowNI	High	wounded	39,00440816	27,55722449	21,39155102	7,098489796	1,993240816
10	13	C	LowI	Low	wounded	19,45646288	63,50960699	41,88742358	25,48751092	2,069847162
10	14	C	LowI	Low	wounded	20,90933333	51,37372222	42,53044444	18,28744444	2,294122222
10	15	C	LowI	Low	wounded	31,84109244	70,11252101	37,77352941	21,67806723	2,642352941
10	16	C	LowI	Low	wounded	31,8737069	66,22931034	28,97599138	21,23896552	1,696594828
10	17	C	LowI	Low	wounded	35,48435294	56,73588235	45,05352941	24,19258824	2,732905882
10	18	C	LowI	Low	wounded	52,44678899	64,78119266	43,10114679	33,78027523	2,483100917
10	19	D	LowNI	Low	wounded	13,91415842	50,01386139	26,3140099	20,00118812	1,683485149
10	20	D	LowNI	Low	wounded	9,247623318	43,817713	23,29246637	20,4461435	1,832547085
10	21	D	LowNI	Low	wounded	19,63235294	49,90294118	27,7604902	22,44078431	1,911112745
10	22	D	LowNI	Low	wounded	22,74586854	51,64178404	33,89164319	22,16967136	1,776347418
10	23	D	LowNI	Low	wounded	41,89293706	97,38321678	42,8941958	36,7634965	1,978853147
10	24	D	LowNI	Low	wounded	32,78561702	50,10553191	31,01608511	18,54982979	1,922008511
11	1	A	LowI	High	wounded	15,71651685	26,42994382	15,11410112	5,562831461	1,861073034
11	2	A	LowI	High	wounded	12,72032967	30,83098901	15,54934066	5,80489011	1,350230769
11	3	A	LowI	High	wounded	15,17853081	26,05018957	12,10881517	5,323412322	1,32971564
11	4	A	LowI	High	wounded	26,32389163	38,30527094	21,27714286	10,06512315	2,056896552
11	5	A	LowI	High	wounded	37,2388764	67,81573034	31,05252809	17,92325843	2,406758427
11	6	A	LowI	High	wounded	8,451764706	42,12847059	23,58170588	7,973941176	2,222494118
11	7	B	LowNI	High	wounded	15,35213389	39,16794979	24,01472803	12,2060251	1,725736402
11	8	B	LowNI	High	wounded	20,7341206	40,45829146	25,03733668	10,25487437	2,52059799
11	9	B	LowNI	High	wounded	19,15539773	36,11215909	19,71715909	7,836704545	1,758517045
11	10	B	LowNI	High	wounded	20,67468504	18,81866142	9,274409449	2,822893701	0,67984252
11	11	B	LowNI	High	wounded	17,88668478	52,69195652	30,18945652	13,92375	2,633679348
11	12	B	LowNI	High	wounded	33,75265306	24,02032653	18,1735102	5,212938776	1,78517551
11	13	C	LowI	Low	wounded	16,5209607	59,88515284	40,34895197	20,66650655	1,966113537
11	14	C	LowI	Low	wounded	17,559	47,26022222	40,52338889	14,27838889	1,930094444
11	15	C	LowI	Low	wounded	25,7905042	68,80445378	39,26647059	19,15605042	2,429882353
11	16	C	LowI	Low	wounded	28,26702586	61,6987069	28,46198276	18,16125	1,691060345
11	17	C	LowI	Low	wounded	30,96952941	52,91494118	42,47511765	20,38129412	2,512788235
11	18	C	LowI	Low	wounded	48,42018349	53,30963303	40,52238532	26,62761468	2,50556422
11	19	D	LowNI	Low	wounded	12,13490099	47,42866337	27,20772277	17,86683168	1,728257426
11	20	D	LowNI	Low	wounded	7,521928251	41,35309417	22,65681614	16,99004484	1,852928251
11	21	D	LowNI	Low	wounded	14,54877451	47,31642157	28,03240196	17,41735294	2,02654902
11	22	D	LowNI	Low	wounded	17,84478873	43,86366197	30,65061033	16,81666667	1,537248826
11	23	D	LowNI	Low	wounded	34,84629371	88,68811189	45,06034965	31,74314685	1,760188811
11	24	D	LowNI	Low	wounded	27,50068085	42,11782979	30,06651064	13,73344681	1,924919149
12	1	A	LowI	High	wounded	15,15219101	29,1358427	14,41837079	3,621286517	1,571938202
12	2	A	LowI	High	wounded	7,021153846	22,59989011	11,62796703	3,30221978	0,876115385
12	3	A	LowI	High	wounded	12,10047393	25,12649289	11,50815166	3,782241706	1,480222749
12	4	A	LowI	High	wounded	21,26049261	36,53640394	19,75596059	7,724827586	1,61773399
12	5	A	LowI	High	wounded	32,22853933	65,50786517	30,31455056	15,00752809	2,832033708
12	6	A	LowI	High	wounded	6,981647059	33,43111765	21,17458824	6,306529412	1,987805882
12	7	B	LowNI	High	wounded	12,64987448	36,44903766	21,30242678	10,06748954	1,828891213
12	8	B	LowNI	High	wounded	15,42924623	35,24462312	19,67336683	7,164874372	2,623859296
12	9	B	LowNI	High	wounded	16,49676136	29,93136364	16,30460227	6,191761364	1,482272727
12	10	B	LowNI	High	wounded	15,94031496	18,09070866	7,268543307	1,097933071	0,200401575
12	11	B	LowNI	High	wounded	13,1898913	44,43369565	24,81978261	10,06576087	2,580244565
12	12	B	LowNI	High	wounded	30,2782449	24,06791837	15,90110204	3,715465306	1,378644898
12	13	C	LowI	Low	wounded	13,51563319	54,38951965	29,14292576	14,27829694	1,84939738
12	14	C	LowI	Low	wounded	14,22116667	40,49227778	31,79316667	11,10911111	2,346583333
12	15	C	LowI	Low	wounded	18,14016807	54,98067227	28,36445378	13,0494958	2,416907563
12	16	C	LowI	Low	wounded	22,57189655	45,96508621	23,24814655	13,77323276	1,540788793
12	17	C	LowI	Low	wounded	23,58988235	44,91135294	34,46629412	15,15717647	2,062188235
12	18	C	LowI	Low	wounded	35,99642202	41,60055046	29,19917431	18,59775229	2,099449541
12	19	D	LowNI	Low	wounded	6,833663366	34,17257426	18,63747525	11,28990099	1,435331683
12	20	D	LowNI	Low	wounded	4,310183857	31,99542601	15,09618834	9,843273543	1,448865471
12	21	D	LowNI	Low	wounded	8,778431373	35,38259804	19,97568627	11,63857843	1,491127451
12	22	D	LowNI	Low	wounded	12,90615023	35,87633803	24,10619718	11,10215962	1,344234742
12	23	D	LowNI	Low	wounded	23,59755245	62,82293706	28,86797203	21,99559441	1,822426573
12	24	D	LowNI	Low	wounded	15,56617021	28,05859574	20,01212766	8,076212766	1,764387234
13	1	A	LowI	High	wounded	6,591797753	26,10573034	6,719044944	1,873573034	1,139955056
13	2	A	LowI	High	wounded	4,72006044	26,66994505	8,091703297	1,970989011	1,102681319
13	3	A	LowI	High	wounded	4,769383886	22,33919431	6,372985782	1,702582938	0,730151659
13	4	A	LowI	High	wounded	9,855665025	25,20147783	11,59349754	3,495669951	1,136374384
13	5	A	LowI	High	wounded	14,15247191	34,84786517	13,1844382	8,335393258	1,541870787
13	6	A	LowI	High	wounded	2,249482353	28,49711765	13,31205882	3,435635294	1,342058824
13	7	B	LowNI	High	wounded	5,826317992	23,8158159	9,579665272	4,971882845	1,131711297
13	8	B	LowNI	High	wounded	6,230251256	26,46849246	11,70040201	4,158768844	1,433326633
